,p_val,avg_logFC,pct.1,pct.2,p_val_adj,gene,cluster,cell type
1,0,2.351112496,0.8,0.086,0,PRR4,1,PRR4_TRM
2,9.13E-262,1.567966064,0.201,0.016,2.33E-257,TRBV7-3,1,PRR4_TRM
3,9.56E-303,1.4597817,0.143,0.003,2.44E-298,CXCL13,1,PRR4_TRM
4,1.61E-279,1.195575595,0.7,0.265,4.12E-275,ANKRD28,1,PRR4_TRM
5,2.49E-110,1.039996071,0.193,0.043,6.35E-106,TRAV8-2,1,PRR4_TRM
6,5.39E-252,1.036280178,0.59,0.184,1.38E-247,KLRC1,1,PRR4_TRM
7,3.04E-151,0.856877776,0.681,0.381,7.78E-147,SAMSN1,1,PRR4_TRM
8,2.45E-90,0.763920483,0.288,0.103,6.27E-86,CXCR6,1,PRR4_TRM
9,2.62E-73,0.761729174,0.356,0.168,6.70E-69,FABP5,1,PRR4_TRM
10,5.27E-89,0.760094464,0.474,0.25,1.35E-84,PRDM1,1,PRR4_TRM
11,5.74E-99,0.73606982,0.896,0.662,1.47E-94,CCL4,1,PRR4_TRM
12,3.84E-59,0.725298444,0.505,0.294,9.82E-55,HSPA1B,1,PRR4_TRM
13,8.91E-98,0.719108245,0.599,0.307,2.28E-93,HSPA1A,1,PRR4_TRM
14,1.88E-110,0.717732239,0.337,0.117,4.80E-106,LGALS3,1,PRR4_TRM
15,3.50E-153,0.713225333,0.833,0.568,8.94E-149,H2AFZ,1,PRR4_TRM
16,2.96E-213,0.711069223,0.968,0.818,7.57E-209,HSPA8,1,PRR4_TRM
17,2.63E-127,0.704342334,0.815,0.598,6.71E-123,BRD2,1,PRR4_TRM
18,2.49E-76,0.698639731,0.349,0.158,6.37E-72,SLC7A5,1,PRR4_TRM
19,2.20E-77,0.678005954,0.459,0.244,5.62E-73,CKS2,1,PRR4_TRM
20,1.48E-111,0.672914206,0.752,0.54,3.79E-107,ALOX5AP,1,PRR4_TRM
21,2.26E-157,0.668305589,0.925,0.795,5.77E-153,HSP90AA1,1,PRR4_TRM
22,3.85E-190,0.664527252,0.981,0.918,9.83E-186,BTG1,1,PRR4_TRM
23,3.97E-62,0.664098293,0.243,0.097,1.02E-57,SMIM3,1,PRR4_TRM
24,1.44E-116,0.663073387,0.859,0.66,3.69E-112,TXNIP,1,PRR4_TRM
25,4.62E-72,0.651549092,0.729,0.586,1.18E-67,DDIT4,1,PRR4_TRM
26,7.73E-178,0.642891042,0.975,0.908,1.97E-173,ZFP36L2,1,PRR4_TRM
27,6.59E-65,0.616745504,0.446,0.257,1.68E-60,GABARAPL1,1,PRR4_TRM
28,2.10E-27,0.615031529,0.359,0.234,5.35E-23,CCL4L2,1,PRR4_TRM
29,2.47E-89,0.605582047,0.684,0.481,6.32E-85,RSRP1,1,PRR4_TRM
