interacting_pair	variable	pvalue	mean	part1	part2	tissue	Type1	Type2	Type	cell1	cell2
1	ACE2_GHRL	BEC.BEC	1	0	BEC	BEC	Bladder_cDNA	BEC	BEC	Endo_Endo	Endo	Endo
2	ACE2_GHRL	BEC.CD4_TCM	1	0	BEC	CD4_TCM	Bladder_cDNA	BEC	CD4_TCM	Endo_CD4	Endo	CD4
3	ACE2_GHRL	BEC.CD4_Th1	1	0	BEC	CD4_Th1	Bladder_cDNA	BEC	CD4_Th1	Endo_CD4	Endo	CD4
4	ACE2_GHRL	BEC.CD4_TRM	1	0	BEC	CD4_TRM	Bladder_cDNA	BEC	CD4_TRM	Endo_CD4	Endo	CD4
5	ACE2_GHRL	BEC.CD8_TEFF	1	0	BEC	CD8_TEFF	Bladder_cDNA	BEC	CD8_TEFF	Endo_CD8	Endo	CD8
6	ACE2_GHRL	BEC.CD8_TEM	1	0	BEC	CD8_TEM	Bladder_cDNA	BEC	CD8_TEM	Endo_CD8	Endo	CD8
7	ACE2_GHRL	BEC.CD8_TRM	1	0	BEC	CD8_TRM	Bladder_cDNA	BEC	CD8_TRM	Endo_CD8	Endo	CD8
8	ACE2_GHRL	BEC.DC	1	0	BEC	DC	Bladder_cDNA	BEC	DC	Endo_Myeloid	Endo	Myeloid
9	ACE2_GHRL	BEC.Epi_FABP4	1	0	BEC	Epi_FABP4	Bladder_cDNA	BEC	Epi	Endo_Epi	Endo	Epi
10	ACE2_GHRL	BEC.Fib	1	0	BEC	Fib	Bladder_cDNA	BEC	Fib	Endo_Fib	Endo	Fib
11	ACE2_GHRL	BEC.FibSmo	1	0	BEC	FibSmo	Bladder_cDNA	BEC	FibSmo	Endo_FibSmo	Endo	FibSmo
12	ACE2_GHRL	BEC.Mac	1	0	BEC	Mac	Bladder_cDNA	BEC	Mac	Endo_Myeloid	Endo	Myeloid
13	ACE2_GHRL	BEC.Mon	1	0	BEC	Mon	Bladder_cDNA	BEC	Mon	Endo_Myeloid	Endo	Myeloid
14	ACE2_GHRL	BEC.NK	1	0	BEC	NK	Bladder_cDNA	BEC	NK	Endo_NK	Endo	NK
15	ACE2_GHRL	BEC.Smo	1	0	BEC	Smo	Bladder_cDNA	BEC	Smo	Endo_Smo	Endo	Smo
16	ACE2_GHRL	CD4_TCM.BEC	1	0	CD4_TCM	BEC	Bladder_cDNA	CD4_TCM	BEC	CD4_Endo	CD4	Endo
17	ACE2_GHRL	CD4_TCM.CD4_TCM	1	0	CD4_TCM	CD4_TCM	Bladder_cDNA	CD4_TCM	CD4_TCM	CD4_CD4	CD4	CD4
18	ACE2_GHRL	CD4_TCM.CD4_Th1	1	0	CD4_TCM	CD4_Th1	Bladder_cDNA	CD4_TCM	CD4_Th1	CD4_CD4	CD4	CD4
19	ACE2_GHRL	CD4_TCM.CD4_TRM	1	0	CD4_TCM	CD4_TRM	Bladder_cDNA	CD4_TCM	CD4_TRM	CD4_CD4	CD4	CD4
20	ACE2_GHRL	CD4_TCM.CD8_TEFF	1	0	CD4_TCM	CD8_TEFF	Bladder_cDNA	CD4_TCM	CD8_TEFF	CD4_CD8	CD4	CD8
21	ACE2_GHRL	CD4_TCM.CD8_TEM	1	0	CD4_TCM	CD8_TEM	Bladder_cDNA	CD4_TCM	CD8_TEM	CD4_CD8	CD4	CD8
22	ACE2_GHRL	CD4_TCM.CD8_TRM	1	0	CD4_TCM	CD8_TRM	Bladder_cDNA	CD4_TCM	CD8_TRM	CD4_CD8	CD4	CD8
23	ACE2_GHRL	CD4_TCM.DC	1	0	CD4_TCM	DC	Bladder_cDNA	CD4_TCM	DC	CD4_Myeloid	CD4	Myeloid
24	ACE2_GHRL	CD4_TCM.Epi_FABP4	1	0	CD4_TCM	Epi_FABP4	Bladder_cDNA	CD4_TCM	Epi	CD4_Epi	CD4	Epi
25	ACE2_GHRL	CD4_TCM.Fib	1	0	CD4_TCM	Fib	Bladder_cDNA	CD4_TCM	Fib	CD4_Fib	CD4	Fib
26	ACE2_GHRL	CD4_TCM.FibSmo	1	0	CD4_TCM	FibSmo	Bladder_cDNA	CD4_TCM	FibSmo	CD4_FibSmo	CD4	FibSmo
27	ACE2_GHRL	CD4_TCM.Mac	1	0	CD4_TCM	Mac	Bladder_cDNA	CD4_TCM	Mac	CD4_Myeloid	CD4	Myeloid
28	ACE2_GHRL	CD4_TCM.Mon	1	0	CD4_TCM	Mon	Bladder_cDNA	CD4_TCM	Mon	CD4_Myeloid	CD4	Myeloid
29	ACE2_GHRL	CD4_TCM.NK	1	0	CD4_TCM	NK	Bladder_cDNA	CD4_TCM	NK	CD4_NK	CD4	NK
30	ACE2_GHRL	CD4_TCM.Smo	1	0	CD4_TCM	Smo	Bladder_cDNA	CD4_TCM	Smo	CD4_Smo	CD4	Smo
31	ACE2_GHRL	CD4_Th1.BEC	1	0	CD4_Th1	BEC	Bladder_cDNA	CD4_Th1	BEC	CD4_Endo	CD4	Endo
32	ACE2_GHRL	CD4_Th1.CD4_TCM	1	0	CD4_Th1	CD4_TCM	Bladder_cDNA	CD4_Th1	CD4_TCM	CD4_CD4	CD4	CD4
33	ACE2_GHRL	CD4_Th1.CD4_Th1	1	0	CD4_Th1	CD4_Th1	Bladder_cDNA	CD4_Th1	CD4_Th1	CD4_CD4	CD4	CD4
34	ACE2_GHRL	CD4_Th1.CD4_TRM	1	0	CD4_Th1	CD4_TRM	Bladder_cDNA	CD4_Th1	CD4_TRM	CD4_CD4	CD4	CD4
35	ACE2_GHRL	CD4_Th1.CD8_TEFF	1	0	CD4_Th1	CD8_TEFF	Bladder_cDNA	CD4_Th1	CD8_TEFF	CD4_CD8	CD4	CD8
36	ACE2_GHRL	CD4_Th1.CD8_TEM	1	0	CD4_Th1	CD8_TEM	Bladder_cDNA	CD4_Th1	CD8_TEM	CD4_CD8	CD4	CD8
37	ACE2_GHRL	CD4_Th1.CD8_TRM	1	0	CD4_Th1	CD8_TRM	Bladder_cDNA	CD4_Th1	CD8_TRM	CD4_CD8	CD4	CD8
38	ACE2_GHRL	CD4_Th1.DC	1	0	CD4_Th1	DC	Bladder_cDNA	CD4_Th1	DC	CD4_Myeloid	CD4	Myeloid
39	ACE2_GHRL	CD4_Th1.Epi_FABP4	1	0	CD4_Th1	Epi_FABP4	Bladder_cDNA	CD4_Th1	Epi	CD4_Epi	CD4	Epi
40	ACE2_GHRL	CD4_Th1.Fib	1	0	CD4_Th1	Fib	Bladder_cDNA	CD4_Th1	Fib	CD4_Fib	CD4	Fib
41	ACE2_GHRL	CD4_Th1.FibSmo	1	0	CD4_Th1	FibSmo	Bladder_cDNA	CD4_Th1	FibSmo	CD4_FibSmo	CD4	FibSmo
42	ACE2_GHRL	CD4_Th1.Mac	1	0	CD4_Th1	Mac	Bladder_cDNA	CD4_Th1	Mac	CD4_Myeloid	CD4	Myeloid
43	ACE2_GHRL	CD4_Th1.Mon	1	0	CD4_Th1	Mon	Bladder_cDNA	CD4_Th1	Mon	CD4_Myeloid	CD4	Myeloid
44	ACE2_GHRL	CD4_Th1.NK	1	0	CD4_Th1	NK	Bladder_cDNA	CD4_Th1	NK	CD4_NK	CD4	NK
45	ACE2_GHRL	CD4_Th1.Smo	1	0	CD4_Th1	Smo	Bladder_cDNA	CD4_Th1	Smo	CD4_Smo	CD4	Smo
46	ACE2_GHRL	CD4_TRM.BEC	1	0	CD4_TRM	BEC	Bladder_cDNA	CD4_TRM	BEC	CD4_Endo	CD4	Endo
47	ACE2_GHRL	CD4_TRM.CD4_TCM	1	0	CD4_TRM	CD4_TCM	Bladder_cDNA	CD4_TRM	CD4_TCM	CD4_CD4	CD4	CD4
48	ACE2_GHRL	CD4_TRM.CD4_Th1	1	0	CD4_TRM	CD4_Th1	Bladder_cDNA	CD4_TRM	CD4_Th1	CD4_CD4	CD4	CD4
49	ACE2_GHRL	CD4_TRM.CD4_TRM	1	0	CD4_TRM	CD4_TRM	Bladder_cDNA	CD4_TRM	CD4_TRM	CD4_CD4	CD4	CD4
50	ACE2_GHRL	CD4_TRM.CD8_TEFF	1	0	CD4_TRM	CD8_TEFF	Bladder_cDNA	CD4_TRM	CD8_TEFF	CD4_CD8	CD4	CD8
51	ACE2_GHRL	CD4_TRM.CD8_TEM	1	0	CD4_TRM	CD8_TEM	Bladder_cDNA	CD4_TRM	CD8_TEM	CD4_CD8	CD4	CD8
52	ACE2_GHRL	CD4_TRM.CD8_TRM	1	0	CD4_TRM	CD8_TRM	Bladder_cDNA	CD4_TRM	CD8_TRM	CD4_CD8	CD4	CD8
53	ACE2_GHRL	CD4_TRM.DC	1	0	CD4_TRM	DC	Bladder_cDNA	CD4_TRM	DC	CD4_Myeloid	CD4	Myeloid
54	ACE2_GHRL	CD4_TRM.Epi_FABP4	1	0	CD4_TRM	Epi_FABP4	Bladder_cDNA	CD4_TRM	Epi	CD4_Epi	CD4	Epi
55	ACE2_GHRL	CD4_TRM.Fib	1	0	CD4_TRM	Fib	Bladder_cDNA	CD4_TRM	Fib	CD4_Fib	CD4	Fib
