interacting_pair	variable	pvalue	mean	part1	part2	tissue
ACKR3_CXCL12	Fib.BEC	0	0.589	Fib	BEC	Bladder
ACKR3_CXCL12	Fib.Fib	0	1.232	Fib	Fib	Bladder
ACKR3_CXCL12	Fib.FibSmo	0	0.849	Fib	FibSmo	Bladder
ACKR3_CXCL12	Fib.Mac	0	0.439	Fib	Mac	Bladder
ACKR3_CXCL12	Fib.Smo	0	0.512	Fib	Smo	Bladder
ALOX5_ALOX5AP	Epithelial_S100P_high.DC	0	0.76	Epithelial_S100P_high	DC	Bladder
ALOX5_ALOX5AP	Epithelial_S100P_high.Mac	0	0.815	Epithelial_S100P_high	Mac	Bladder
ALOX5_ALOX5AP	Epithelial_S100P_high.NK	0	0.619	Epithelial_S100P_high	NK	Bladder
ALOX5_ALOX5AP	Epithelial_S100P_high.TEFF_CD8	0	0.655	Epithelial_S100P_high	TEFF_CD8	Bladder
ALOX5_ALOX5AP	Epithelial_S100P_high.TRM_CD4	0	0.568	Epithelial_S100P_high	TRM_CD4	Bladder
ALOX5_ALOX5AP	Epithelial_S100P_high.TRM_CD8	0	0.599	Epithelial_S100P_high	TRM_CD8	Bladder
ANXA1_FPR1	BEC.Mon	0	0.734	BEC	Mon	Bladder
ANXA1_FPR1	DC.Mon	0	1.089	DC	Mon	Bladder
ANXA1_FPR1	Epithelial_S100P_high.Mon	0	1.099	Epithelial_S100P_high	Mon	Bladder
ANXA1_FPR1	Fib.Mon	0	1.165	Fib	Mon	Bladder
ANXA1_FPR1	Mac.Mon	0	0.964	Mac	Mon	Bladder
ANXA1_FPR1	Mon.Mon	0	1.245	Mon	Mon	Bladder
ANXA1_FPR1	NK.Mon	0	1.01	NK	Mon	Bladder
ANXA1_FPR1	Smo.Mon	0	0.732	Smo	Mon	Bladder
ANXA1_FPR1	TEFF_CD8.Mon	0	1.123	TEFF_CD8	Mon	Bladder
ANXA1_FPR1	TRM_CD4.Mon	0	1.116	TRM_CD4	Mon	Bladder
ANXA1_FPR1	TRM_CD8.Mon	0	1.185	TRM_CD8	Mon	Bladder
ANXA1_FPR2	DC.Mon	0	0.855	DC	Mon	Bladder
ANXA1_FPR2	Epithelial_S100P_high.Mon	0	0.866	Epithelial_S100P_high	Mon	Bladder
ANXA1_FPR2	Fib.Mon	0	0.931	Fib	Mon	Bladder
ANXA1_FPR2	Mac.Mon	0	0.731	Mac	Mon	Bladder
ANXA1_FPR2	Mon.Mon	0	1.011	Mon	Mon	Bladder
ANXA1_FPR2	NK.Mon	0	0.776	NK	Mon	Bladder
ANXA1_FPR2	TEFF_CD8.Mon	0	0.889	TEFF_CD8	Mon	Bladder
ANXA1_FPR2	TRM_CD4.Mon	0	0.882	TRM_CD4	Mon	Bladder
ANXA1_FPR2	TRM_CD8.Mon	0	0.951	TRM_CD8	Mon	Bladder
ANXA1_FPR3	DC.DC	0	0.869	DC	DC	Bladder
ANXA1_FPR3	DC.Mac	0	0.937	DC	Mac	Bladder
ANXA1_FPR3	Epithelial_S100P_high.DC	0	0.88	Epithelial_S100P_high	DC	Bladder
ANXA1_FPR3	Epithelial_S100P_high.Mac	0	0.948	Epithelial_S100P_high	Mac	Bladder
ANXA1_FPR3	Fib.DC	0	0.946	Fib	DC	Bladder
ANXA1_FPR3	Fib.Mac	0	1.013	Fib	Mac	Bladder
ANXA1_FPR3	Mac.DC	0	0.745	Mac	DC	Bladder
ANXA1_FPR3	Mac.Mac	0	0.813	Mac	Mac	Bladder
ANXA1_FPR3	Mon.DC	0	1.025	Mon	DC	Bladder
ANXA1_FPR3	Mon.Mac	0	1.093	Mon	Mac	Bladder
ANXA1_FPR3	NK.DC	0	0.79	NK	DC	Bladder
ANXA1_FPR3	NK.Mac	0	0.858	NK	Mac	Bladder
ANXA1_FPR3	TEFF_CD8.DC	0	0.903	TEFF_CD8	DC	Bladder
ANXA1_FPR3	TEFF_CD8.Mac	0	0.971	TEFF_CD8	Mac	Bladder
ANXA1_FPR3	TRM_CD4.DC	0	0.897	TRM_CD4	DC	Bladder
ANXA1_FPR3	TRM_CD4.Mac	0	0.964	TRM_CD4	Mac	Bladder
ANXA1_FPR3	TRM_CD8.DC	0	0.965	TRM_CD8	DC	Bladder
ANXA1_FPR3	TRM_CD8.Mac	0	1.033	TRM_CD8	Mac	Bladder
APP_FPR2	BEC.Mon	0	1.079	BEC	Mon	Bladder
APP_FPR2	Epithelial_S100P_high.Mon	0	0.66	Epithelial_S100P_high	Mon	Bladder
APP_FPR2	Fib.Mon	0	0.832	Fib	Mon	Bladder
APP_FPR2	FibSmo.Mon	0	0.954	FibSmo	Mon	Bladder
APP_FPR2	Smo.Mon	0	0.646	Smo	Mon	Bladder
C3_aMb2 complex	Fib.Mac	0	1.428	Fib	Mac	Bladder
C3_aMb2 complex	Fib.Mon	0	1.435	Fib	Mon	Bladder
C3_aMb2 complex	FibSmo.Mac	0	0.56	FibSmo	Mac	Bladder
C3_aMb2 complex	FibSmo.Mon	0	0.567	FibSmo	Mon	Bladder
C3_C3AR1	Fib.Mac	0	1.362	Fib	Mac	Bladder
